,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
717,717,717,922,922,سيديونس,"همدانی
",زیبا دشت بالا - نبش گلستان دوم غربی -,-1.0,13,ندارد,"زیست‌شناسی
",19,"پیک موتوری  
",1
718,718,718,926,926,طاهره سادات,"معارف
",اشرفی اصفهانی خیابان پیامبر بعد از بلوار ابوذر,1.0,17,فوق لیسانس,"الهیات و معارف اسلامی
",24,"نانوا  
",6
719,719,719,927,927,علي اشرف,"ستاری
",شهید اوینی - پایین تر از هادی سائی مسجد ولی اباد,-1.0,20,فوق دکترا,,44,"داروسازی
",12
720,720,720,928,928,عمار,"زهرایی
",نیاوران-خ فیضیه-کوچه13-کوچه14-بوستان شهدای شیرازی,-1.0,15,کارشناسی,"مطالعات ارتباطی
",18,,0
721,721,721,929,929,عمران,"شفا
",بلوار شهرزاد امیر پابرجا -بلوار ایینه جنوبی,0.0,17,فوق دیپلم,"کاردان فنی مکانیک
",39,"اپراتور لوکوموتیو
",2
722,722,722,930,930,عين اله,"ملکیان
",نارمک میدان شقایق ابتدای دردشت ورودی 46 متری شرقی(شهید ثانی),0.0,25,کاردانی,"شیمی
",15,"عکاس 
",1
723,723,723,931,931,غزال,"سرشار
",خ مصطفی خمینی کوچه براز جان,2.0,14,فوق لیسانس,"-1
",40,"کارشناس فروش 
",14
724,724,724,932,932,غلام رضا,"کمالی
",خ قزوین.خ میر جلیلی.خ اسکندری.حد فاصل جلیلی تا خ مرادی( استخر ),1.0,14,لیسانس,"مددکاری اجتماعی
",15,"دام دار
",0
725,725,725,933,933,فاضله,"همدانی
",پیروزی چهار راه کوکاکولا,2.0,18,فوق دیپلم,"مهندسی صنایع
",23,"ماهیگیر
",2
726,726,726,934,934,فاطمه سلطان,"خیابانی
",یوسف آباد- خ نوزدهم-,-1.0,20,فوق دیپلم,"دندان‌پزشکی
",21,,7
727,727,727,935,935,فاطمه معصومه,"رحماندوست
",میدان رازی . خ رباط کریم . خ خطیب .,-1.0,25,لیسانس,"زبان فرانسوی
",24,"-1
",12
728,728,728,936,936,فاطمه نساء,"خوئینی
",خ وحدت اسلامی . خ مختاری شرقی  . انتهای کوچه کاظمی . سمت چ,0.0,12,لیسانس,"مهندسی چوب
",33,"ماهیگیر
",1
729,729,729,938,938,فرنوش,"آهنگری 
",خیابان ری خ ابشار ابتدای کوچه گرکانی,2.0,12,-1,"مهندسی هوافضا
",27,"مربی مهد کودک  
",4
730,730,730,939,939,فريباسادات,"هاشمی رفسنجانی
",خیابان ستارخان خیابان شادمان خیابان  خوش رو کوچه سرابی روبه روی,-1.0,21,0,"پرستاری
",54," مددکار
",20
731,731,731,940,940,قدرت,"آدینه 
",بلوار ابوذر . پل ششم . خ بقایی . خ بجستانی . نبش ک 16,2.0,25,سیکل,,35,"بازیگر  
",15
732,732,732,941,941,قدير,"شاه‌حسینی
",ورد آورد - اردستانی شمالی - جاده وردیش - پل زیرین اتوبان همت,1.0,17,-1,"مهندسی برق
",29,"زنبوردار
",14
733,733,733,942,942,كرامت اله,"مرتضوی
",خ امیر کبیر . به سمت سه راه امین حضور .,2.0,15,فوق لیسانس,"مهندسی پلیمر
",55,"دندان پزشک  
",23
734,734,734,944,944,كيانوش,"سپه‌وند
",خزانه بخارایی بین فلکه سوم و چهارم عباسی کوچه شهید رحیمی,2.0,15,0,,46,"کارشناس بازرگانی داخلی و خارجی
",0
735,735,735,945,945,گلثوم,"مرادخانی
",خ یوسف اباد خ 64 شرقی,-1.0,23,کارشناسی ارشد,"ریاضیات و کاربردها
",45,,3
736,736,736,946,946,لادن,"شیرازی
",بلور سازی کوچه هدایتی,0.0,18,فوق دکترا,"مهندسی ماشین‌های کشاورزی
",42,"-1
",17
737,737,737,947,947,ليلاسادات,"اعلم
",خ فلسطین شمالی - پایین تر از زرتشت - ک شهید فیروز دهقان - درمانگاه امام خمینی,-1.0,19,کارشناسی ارشد,"تکنسین پروتزهای دندانی
",30,,7
738,738,738,950,950,مائده السادات,"توکلیان
",خ خراسان خ لرزاده نبش قدیرکاشانی غربی,1.0,18,فوق دیپلم,"کارشناسی چندرسانه‌ای
",34,"مهندس راه آهن 
",15
739,739,739,951,951,مباركه,"خیابانی
",عارف جنوبی /پایین تر 4 عجب گل .پایین تر کوچه علی خانی میوه فروشی,2.0,23,فوق دیپلم,"مهندسی منابع طبیعی
",27,"مشاور
",6
740,740,740,952,952,مبيناسادات,"هوشیار
",,2.0,24,کارشناسی ارشد,"-1
",51,"مسئول مکاتبات
",0
741,741,741,953,953,محبوبه سادات,"معارف
",,2.0,14,سیکل,"علوم ارتباطات اجتماعی
",41,,10
742,742,742,955,955,محمدصابر,"اصفهانی
",میدان امام حسین- خ 17 شهریور-خ صفای غربی-نبش کوچه پیش یار,-1.0,20,سیکل,"کاردان فنی معدن
",15,"مسئول دفتر
",2
743,743,743,956,956,مستانه,"روحانی
",خ سهیل    (  میرزا  پور  )  .  خ فاطمیه  .  مهر  7   .,2.0,23,فوق لیسانس,"مرمت آثار تاریخی
",35,"ویزیتور
",16
744,744,744,957,957,معراج,"رهنما
",آبت الله کاشانی-بلوار شقایق-نرسیده به حکیم-نرسیده به 5 شرقی,2.0,22,کارشناسی,"مدیریت جهان‌گردی
",55,"نانوا  
",26
745,745,745,958,958,مكيه,"حکمت
",جنت آباد مرکزی-خ مخبری-انتهای116 متری دوم شمالی-خ 11 مرکزی,0.0,20,دیپلم,"مهندسی معماری
",49,"فیزیوتراپی
",2
746,746,746,959,959,مليحه سادات,"صباغ
",شهران شمالی بلوار نیما یوشیخ,1.0,12,0,"تفسیر قرآن مجید
",33,"0
",14
747,747,747,960,960,منيجه,"کیان
",بلوار پروین . نبش 184 شرقی ( مرادی ),0.0,14,-1,"مهندسی شهرسازی
",44,"-1
",5
748,748,748,962,962,مهراب,"آریان‌پور
",میدان تجریش -   خ شهرداری,-1.0,14,0,"0
",35,"زنبوردار
",8
749,749,749,964,964,مهرزاد,"پناهنده
",شهرک راه آهن - بلوار کاشان - خ  میلاد چهار- کوچه میثاق یکم,0.0,24,کاردانی,"اقیانوس‌شناسی
",45,"نویسنده  
",18
750,750,750,965,965,ميعاد,"امانت
",خیابان بروجردی - زیر پل بعثت,0.0,19,کارشناسی,"پزشکی هسته‌ای
",29,"کارگردان
",7
751,751,751,966,966,ميمنت,"خاتمی
",جنت اباد مرکزی .شمال اتوبان همت .. بلوار بعثت . شانزده متری اول شمالی نبش ک توکلی غربی,2.0,12,لیسانس,"تربیت بدنی
",35,"مهندس مکانیک
",10
752,752,752,967,967,نصره,"خوئینی
",شهرک ورد اورد . خ گلزار . انتهای ک زندیه . داخل بوستان,0.0,13,فوق دکترا,"-1
",54,"-1
",6
753,753,753,969,969,نورمحمد,"شیرازی
",کردستان . شیخ بهایی جنوبی . بلوار آزادگان . کوچه 23 غربی .,-1.0,14,ندارد,"حقوق
",28,"مهندس مکانیک
",3
754,754,754,970,970,نيكا,"انوار
",خ هاشمی.21 متری جی,2.0,20,دکترا,"شنوایی‌شناسی
",34,"مشاوران مالی
",8
755,755,755,971,971,همايون,"هروی
",سعادت آباد. خ نوروزی .,0.0,21,دیپلم,"مهندسی بهداشت محیط
",28,"تحلیلگر و مفسر اخبار
",4
756,756,756,972,972,هومن,"دیباج
",میدان بنی هاشم - خ افشاری - ابتدای زیر گذر همت - ک امام حسن مجتبی,2.0,18,کارشناسی,"مهندسی انرژی
",52,,21
757,757,757,973,973,آروين,"شبستری
",شهرک ژاندارمری - خرم رودی - نامدار  5,0.0,19,دیپلم,,30,"استاد دانشگاه
",12
758,758,758,977,977,اميدعلي,"آریان‌پور
",بزرگ راه یاسینی - شمال به جنوب - بعد از با بایی,-1.0,17,ندارد,"حقوق
",49,"داور حل اختلاف 
",24
759,759,759,978,978,اميرحمزه,"اشکوری
",,-1.0,15,کارشناسی,"-1
",38,"راننده  
",17
760,760,760,979,979,آيت اله,"دستغیب
",,0.0,21,دیپلم,"اقیانوس‌شناسی
",25,"بنّا
",1
761,761,761,980,980,بمانعلي,"ستاری
",,2.0,18,فوق دیپلم,,33,"اپتومتریست
",2
762,762,762,986,986,پريناز,"کوشکی
",,-1.0,23,سیکل,"هوش‌بری
",48,"-1
",9
763,763,763,988,988,پيام,"گنجی
",,1.0,16,کارشناسی ارشد,"راهنمایی و مشاوره
",18,"بنّا
",2
764,764,764,989,989,حنان,"رنجبر
",,0.0,18,فوق دیپلم,"-1
",31,"جنگل داری
",5
765,765,765,990,990,حنيفه,"شریفیان
",,2.0,13,کارشناسی ارشد,"مامایی
",55,"ویزیتور
",3
766,766,766,991,991,دولت,"محجوب
",,0.0,24,دیپلم,"-1
",31,"گزارشگر
",14
767,767,767,992,992,رخساره,"شیخ‌الاسلامی
",,1.0,19,ندارد,"علوم قضایی
",47," مددکار
",8
768,768,768,994,994,رشيد,"شیروانی
",,1.0,19,لیسانس,"فیزیک مهندسی
",46,"اپتومتریست
",22
769,769,769,996,996,سانيا,"خوئینی‌ها
",,2.0,25,کارشناسی ارشد,"کارشناسی چندرسانه‌ای
",38,"ناخدای کشتی 
",1
770,770,770,998,998,سوگل,"لاهوتی
",,2.0,24,0,"الهیات و معارف اسلامی
",30,"دام دار
",15
771,771,771,999,999,سيداميرمهدي,"مهاجرانی
",,-1.0,15,فوق دکترا,"دبیری جغرافیا
",34,"مسئول بایگانی
",3
772,772,772,1000,1000,سيدحسام الدين,"راسخ
",,2.0,24,سیکل,"ادبیات داستانی
",38,"-1
",10
773,773,773,1001,1001,سيدميلاد,"خرم‌آبادی
",,2.0,23,ندارد,"زبان فرانسوی
",35,"بنّا
",7
774,774,774,1002,1002,سيده زهره,"راوندی
",,1.0,17,فوق دکترا,"تاریخ
",35,"کارشناس دیجیتال مارکتینگ  
",0
775,775,775,1003,1003,سيده سارا,"توکلیان
",,2.0,17,کارشناسی ارشد,"مهندسی مدیریت اجرایی
",15,"نوازنده
",1
776,776,776,1005,1005,سيدياسين,"دهقان
",خ شوش خ رهکویی خ بوربور بن بست مخملباف,1.0,19,کارشناسی ارشد,"دندان‌پزشکی
",16,"نانوا  
",1
777,777,777,1006,1006,شميم,"زمردیان
",شهرک ازادی میدان امام رضا شمالی شهید مقبلی نژاد کوچه نهم,2.0,12,دیپلم,"مدارک پزشکی
",26,"معلم 
",1
778,778,778,1007,1007,عابد,"زالی
",فلکه دوم صادقیه بلوار فردوس غرب ورزی شمالی ک دهم غربی,2.0,25,فوق دکترا,"شیمی
",53,"زنبوردار
",24
779,779,779,1008,1008,عاطفه السادات,"داور 
",سردارجنگل . خ بهارشرقی .خ فجر فجر 1,0.0,24,فوق دکترا,"تکنولوژی تولیدات دامی
",50,"نوازنده
",24
780,780,780,1009,1009,عالم,"افخم 
",,2.0,19,0,"حسابداری
",43,"مکانیک  
",16
781,781,781,1011,1011,عبدالصمد,"اعتماد
",شهرک ژاندار مری خ ابراهیمی خ آرش کمانگیر - بلوار فرزانگان -خ میثاق -میثاق1 -,-1.0,12,سیکل,"مهندسی نساجی
",26,"کارشناس امنیت اطلاعات  
",3
782,782,782,1012,1012,عبدالوهاب,"زمردیان
",خانی ابادنو. خ لطیفی. خ علی محمدی. نبش کوچه ششم و پنجم,2.0,22,دیپلم,,43,"کارگر ساده  
",9
783,783,783,1013,1013,عقيله,"لاجوردی
",سعادت اباد . بلوار  سرو . بین پاکنژاد  و  م کتاب .,2.0,15,ندارد,"راهنمایی و مشاوره
",44,"فیزیوتراپی
",10
784,784,784,1014,1014,علي اوسط,"ترکاشوند
",خ  شهید کبیری  طامه . پایین تر از چهار راه گلستان .,2.0,17,فوق دیپلم,"کاردانی دام‌پزشکی
",55,"استاد دانشگاه
",24
785,785,785,1015,1015,علي جان,"شادمهر
",,-1.0,21,لیسانس,"علوم دامی
",24,"کارشناس بازرگانی داخلی و خارجی
",11
786,786,786,1016,1016,علي عباس,"کمالی
",قصرالدشت - نبش چهارراه دامپزشکی - ضلع شمال شرقی,1.0,13,فوق دیپلم,"مهندسی فضای سبز
",18,"مهندس شهرسازی
",0
787,787,787,1017,1017,عمادالدين,"راوندی
",میدان انقلاب . کارگر شمالی . بالاتر از چهار راه فاطمی .,1.0,21,دیپلم,,19,"حسابدار و کمک حسابدار 
",4
788,788,788,1018,1018,غفار,"هروی
",خیابان اشرفی اصفهانی . خیابان باهنر . چهار راه هجرت . ایستگاه تاکسی,2.0,24,کاردانی,"علوم سیاسی
",22,,3
789,789,789,1019,1019,غلام حسين,"همدانی
",دیباجی جنوبی . خ سنجابی . کوچه ادینه,-1.0,15,-1,"علوم اجتماعی
",36,"کارگر ساده  
",6
790,790,790,1020,1020,فخرالدين,"شرع‌پسند
",کارگر جنوبی . بالاتراز میدان رازی سمت راست,1.0,15,سیکل,"مهندسی ایمنی
",51,"کارشناس محیط زیست 
",13
791,791,791,1021,1021,فرخ لقا,"حقانی
",جنت اباد شاهین شمالی,2.0,19,دکترا,"-1
",23,"0
",8
792,792,792,1022,1022,فرزان,"هاشمی
",میدان بهمن خیابان دارابی - خامصی -,2.0,16,فوق دیپلم,"مهندسی صنایع
",29,"معلم 
",5
793,793,793,1023,1023,فريبرز,"شیخ‌الاسلامی
",میدان معلم . خ تختی . چهار راه تختی,1.0,18,ندارد,"علوم سیاسی
",17,"منشی  
",0
794,794,794,1024,1024,فهيمه سادات,"همت
",افریقا بالاتر از پل میرداماد ک پیروز,-1.0,20,فوق دکترا,"فیزیک
",47,"بنّا
",20
795,795,795,1025,1025,قدسيه,"پناهی
",سعادت اباد بلوار 24 متری 1=یکم شرغی شبوی شرغی,0.0,23,کارشناسی ارشد,"زبان فرانسوی
",55,"منشی دادگاه
",21
796,796,796,1027,1027,كسري,"ملایری
",تهرانسر شهرک استقلال خ دکتر عبیدی کوچه 9,1.0,12,فوق دکترا,"0
",29,"خلبان 
",2
797,797,797,1029,1029,گلشن,"خدایی
",محلاتی خ پاسدار گمنام خ صاحت زمان شمالی کوچه حسینی,-1.0,18,دکترا,"هوانوردی
",29,"0
",14
798,798,798,1030,1030,گوهرتاج,"سیف‌زاده
",جردن ناهید غربی ÷لاک 44 طبقه 5 یا 6,-1.0,22,کاردانی,"0
",34,"بنّا
",8
799,799,799,1031,1031,ماني,"رفیعی
",خیابان دکتر هوشیار کوچه تاجیک بعد از کوچه ابوالفضل نرسیده نبش کامران-جلوی,2.0,18,فوق لیسانس,"آرگونومی
",54,"کارشناس امنیت اطلاعات  
",24
800,800,800,1032,1032,ماه بي بي,"آهنگر
",نبرد جونی خ بقایی اقاجانلو جنوبی کوچه دلیران تقاطع احمدی,0.0,18,ندارد,"ایمونولوژی
",33,"کارگر ساده  
",15
801,801,801,1033,1033,ماه منير,"صباغ
",شهرری -خیابان 24 متری - کوچه ابوذر سوم- اواسط کوچه صحراگرد,-1.0,20,-1,"امور گمرکی
",40,"پیک موتوری  
",9
802,802,802,1034,1034,محرمعلي,"شادمهر
",شهرک ولیعصر خ رجایی میلان 9,2.0,21,ندارد,"شیمی
",49,"کارشناس مرکز تماس  
",14
803,803,803,1035,1035,محمدامير,"شرع‌پسند
",خ جمهوری نرسیده به تقاطع 15 فروردین,-1.0,14,کارشناسی,"علوم سیاسی
",47,"کارشناس سخت افزار  
",12
804,804,804,1036,1036,محمدحامد,"ملک
",میرداماد .خیابان رازان جنوبی .کوچه 16.,1.0,18,سیکل,"پرستاری
",18,"دندان پزشک  
",4
805,805,805,1037,1037,محمدقاسم,"شرع‌پسند
",خ فاطمیه غربی - خ جگرد افرید,-1.0,25,دکترا,"مهندسی معدن
",25,"0
",5
806,806,806,1038,1038,مرادعلي,"کیان
",خ جیهون شمال به جنوب  بعد از تقاطع هاشمی -,-1.0,24,فوق لیسانس,"زمین‌شناسی
",49,"کارشناس بازرگانی داخلی و خارجی
",3
807,807,807,1039,1039,مرحمت,"لنکرانی
",فلکه چهارم تهرانپارس . خیابان خیری . نبش 214,1.0,23,0,"باستان‌شناسی
",34,"اپراتور لوکوموتیو
",11
808,808,808,1041,1041,مسعوده,"لوکس
",مجیدیه شمالی . خیابان محمودی شرقی . بین 16 متری 2 و کمالی . جوی های,1.0,17,فوق دیپلم,"دبیری جغرافیا
",15,"حسابدار و کمک حسابدار 
",3
809,809,809,1042,1042,مقدسه,"همدانی
",ضلع شمال به جنوب خ خیام جنوبی - تقاطع خ مختاری -,2.0,25,فوق دکترا,"فیزیک
",51,"کارشناس فروش 
",20
810,810,810,1043,1043,مكرم,"توسلی
",اشرفی اصفهانی خ اسکندر زاده گلستان 18 غربی,-1.0,13,فوق لیسانس,"مکاترونیک
",48,"ناخدای کشتی 
",0
811,811,811,1044,1044,مني,"زارع
",جلال آل احمد - بعد از یادگار - ارش - جهاد 3 نبش,1.0,12,-1,"علوم دامی
",27,,6
812,812,812,1046,1046,مهدي يار,"شاه‌حسینی
",شهرک غرب -فاز 6 -گل افشان جنوبی -سروستان شرقی-,0.0,24,فوق دکترا,"0
",39,"کارشناس امنیت اطلاعات  
",19
813,813,813,1047,1047,نجميه,"دانایی‌فرد
",جوادیه - خ 10 متری اول - ک پایدار,1.0,19,ندارد,"کارشناسی بهداشت عمومی
",50,"مهندس مکانیک
",2
814,814,814,1048,1048,نصير,"پستا
",خیابان مطهری خیابان فجر,-1.0,19,کاردانی,"دبیری زبان و ادبیات عربی
",55,"جراح زیبایی  
",12
815,815,815,1049,1049,نعمت,"زارع
",میشریه . خ سازمان اب . کوچه پاشازاده,-1.0,22,فوق دیپلم,"علوم سیاسی
",42,"کارگر ساده  
",13
816,816,816,1051,1051,نير,"داودی
",شهرک کاروان - خ ده  قائم - کوچه دوم شرقی,1.0,19,0,"مددکاری اجتماعی
",17,"بنّا
",3
817,817,817,1052,1052,نيوشا,"آشتیانی
",یاخچی آباد -,0.0,19,کاردانی,"فیزیک مهندسی
",42,"مکانیک  
",20
818,818,818,1055,1055,ادريس,"لاچینی
",سراسیاب خیابان شیوا خیابان لرستان,2.0,21,فوق دکترا,"کارشناسی چندرسانه‌ای
",24,"-1
",9
819,819,819,1056,1056,آرام,"شیرازی
",خ جمهوری - بعد از چهار راه فلسطین -,0.0,20,کارشناسی ارشد,"زیست‌شناسی سلولی
",28,"گزارشگر
",12
820,820,820,1057,1057,الهه سادات,"شبستری
",خانی آباد نو . میثاق شمالی . بلوار شقایق .,-1.0,12,کارشناسی ارشد,"مهندسی صنایع
",40,"مجسمه ساز
",14
821,821,821,1058,1058,آمنه سادات,"رسولی
",,-1.0,13,کارشناسی,"رشته‌های تجربی
",28,"اپتومتریست
",3
822,822,822,1060,1060,اميرسجاد,"ابطحی
",خ دولت خ بهمنی خ قلندری,0.0,22,کارشناسی,"مهندسی فرماندهی و کنترل هوایی
",29,"کشاورز 
",4
823,823,823,1062,1062,اميرهوشنگ,"خامنه‌ای
",میدان نامجو-خ پازوکی- حصارنوعی- بالاتر از ک کرمی- کنارگذر امام علی,2.0,25,سیکل,"-1
",50,"منشی دادگاه
",25
824,824,824,1063,1063,امين محمد,"صانعی
",نیاوران .خیابان ایت محمودی 1 . کوچه برادر .,2.0,25,-1,"مهندسی نفت
",46,"دادیار
",0
825,825,825,1065,1065,آيسا,"لاجوردی
",پیروزی.م بروجردی.ک داوودی,2.0,21,0,"باستان‌شناسی
",48,"اپراتور لوکوموتیو
",24
826,826,826,1066,1066,آيسان,"زارع
",خیابان مدنی جنوبی . خیابان محمودی . کوچه حسینی . بن بست محمدی .,1.0,22,فوق لیسانس,"رشته‌های تجربی
",27,"پرورش دهنده ماهی
",13
827,827,827,1067,1067,برديا,"اصفهانی
",خ پیروزی - خ 5 نیرو هوایی - کوچه 4/34 -,-1.0,25,سیکل,"0
",46,"بازرسان مالی
",14
828,828,828,1068,1068,بهرامعلي,"شیرازی
",ابتدی 46 متری نارمک غربی,0.0,19,دیپلم,"-1
",27,"کارشناس امنیت اطلاعات  
",3
829,829,829,1071,1071,پانيذ,"رنگرز
",خ نظام آباد - خ رجبی -(میدان سابق),1.0,21,کاردانی,"مهندسی ماشین‌های کشاورزی
",19,,4
830,830,830,1072,1072,تابنده,"لنکرانی
",میدان هروی . خ وفا منش . خ سالمندان,1.0,24,فوق دکترا,"مرمت آثار تاریخی
",46,"سرایدار 
",1
831,831,831,1073,1073,جليله,"سروش
",سعادت اباد - خ بیست و شش غربی,2.0,20,کاردانی,,52,"منشی  
",22
832,832,832,1074,1074,جهان,"انوری
",انتهای خ هفده شهریور تا تیر دوقلو,0.0,23,فوق لیسانس,"داروسازی
",45,"مهندس معماری
",3
833,833,833,1075,1075,جيران,"موسویان
",,1.0,17,فوق دیپلم,"کتابداری
",51,"خیاط  
",19
834,834,834,1076,1076,حانيه السادات,"محمدی
",بزرگراه کردستان خ 27غربی نبش جا نبازان پروژه حکیم,0.0,21,دیپلم,"مهندسی شهرسازی
",35,"سرایدار 
",0
835,835,835,1077,1077,حانيه سادات,"شریفیان
",رجایی جنوب بعد از بیمارستان هفت تیر نرسیده به خ بهشتی,0.0,15,فوق لیسانس,,39,"نویسنده  
",3
836,836,836,1079,1079,حسني,"خیابانی
",میدان فردوسی خ صادق,1.0,14,فوق دیپلم,"مهندسی کشتی
",16,"مسئول بایگانی
",1
837,837,837,1080,1080,حميده سادات,"توکل
",بزرگراه خلیخ فارس - جنوب به شمال -نرسیده به بزرگراه آزادگان,1.0,17,کارشناسی ارشد,,49,"ماما
",18
838,838,838,1082,1082,حوريه سادات,"صغیری
",ستارخان خ کوکب ک داد,2.0,17,کارشناسی,"بهداشت مواد غذایی
",23,"دندان پزشک  
",10
839,839,839,1083,1083,خديجه سادات,"شجاعی
",شهر ری-جاده ورامین جاده نظامی-بلوار امام حسین -خ حقانی-ک طالقانی-,2.0,17,فوق دکترا,"مدیریت
",41,"آمارگران
",6
840,840,840,1084,1084,ديانا,"شاه‌حسینی
",یافت اباد . میدان پژوتن . 8 متری عابدینی . ک ابوالفضل بابایی .,0.0,23,0,"علوم قضایی
",44,"منشی  
",18
841,841,841,1085,1085,ربابه السادات,"پناهنده
",خ سی متری جی - خ متری قمار باقی - بن بست عابدی -,1.0,17,دیپلم,"کارشناسی چندرسانه‌ای
",17,"معلم 
",4
842,842,842,1087,1087,رحمت الله,"عبادی
",شهرک ولیعصر - خیابان جلالی شمالی - کوچه 29 -,2.0,15,کاردانی,"روان‌شناسی
",21,"مهندس معدن 
",3
843,843,843,1089,1089,روزبه,"رنگرز
",خ محبوب مجاز شرقی . خ خرمشهر شمالی .,2.0,22,کارشناسی ارشد,"مدیریت هتل‌داری
",48,"کارگر ساده  
",3
844,844,844,1090,1090,روشنك,"زالی
",شهرک اکباتان- بیمه سوم - خ 24 غربی -,1.0,20,سیکل,"مهندسی معماری
",25,"نویسنده  
",2
845,845,845,1092,1092,زمان,"استادی
",مبارک آباد . خ افتخاریان . کوچه مفتوحی غربی .,1.0,24,-1,"عکاسی
",32,"نجاری
",1
846,846,846,1093,1093,زمزم,"راسخ
",نامجوی شمالی.ک اغاسی اصفهانی.,-1.0,17,فوق لیسانس,"فوریت‌های پزشکی
",17,"مشاور
",2
847,847,847,1094,1094,ساراسادات,"صغیری
",تقاطع خیابان کوی فراز و خیابان (لادن شرقی)شهیدخلبان سیدعلی بیدار,1.0,25,دکترا,"پرورش زنبور عسل
",40,"کارشناس بازرگانی داخلی و خارجی
",14
848,848,848,1095,1095,سالم,"مطهری
",عبدل آباد- خ لقمان جنوبی- کوچه ابن سینا - دقیقا,0.0,14,دکترا,"علوم تربیتی
",55,"-1
",12
849,849,849,1096,1096,ساينا,"مصاحب
",اندرزگو- کوچه شریفی منش-,-1.0,13,فوق دیپلم,"تربیت بدنی
",17,"مسئول وصول مطالبات
",0
850,850,850,1097,1097,سروناز,"شرف
",خزانه بخارایی- فلکه 3 عباسی- بعد از بازار روز- نبش ک جلال وند-,1.0,25,دیپلم,"دبیری زبان و ادبیات عربی
",48,"مکانیک  
",12
851,851,851,1098,1098,سريه,"شیرازی
",خیابان مولوی – بین ولیعصر و وحدت اسلامی . نبش کوچه شمس فلاح,2.0,15,کاردانی,"هوش‌بری
",20,"مربی مهد کودک  
",0
852,852,852,1100,1100,سمنبر,"منوچهری
",نارمک خ گلبرگ غربی,0.0,23,0,"مهندسی معماری
",53,"داور حل اختلاف 
",15
853,853,853,1101,1101,سناء,"مجتهدی
",خیابان نیروی هوایی داخل خیابان 9/28,0.0,21,فوق لیسانس,"آرگونومی
",33,"کشاورز 
",7
854,854,854,1102,1102,سونيا,"پیرحیاتی
",سه راه افسریه بزرگراه بعثت شهرک بروجردی,0.0,19,فوق دکترا,"علوم مهندسی
",17,"آهنگساز
",1
855,855,855,1103,1103,سيامك,"هاشمیان
",پیروزی -خیابان نبرد شمالی - نبش کوچه فرشباف,2.0,21,کارشناسی,"مهندسی ماشین‌های کشاورزی
",41,"نویسنده  
",0
856,856,856,1105,1105,سيدطاها,"ستاری
",شهر ری.خ 24 متری خ شیر محمدی,1.0,18,سیکل,"دبیری جغرافیا
",51,"آمارگران
",8
857,857,857,1106,1106,سيدعرفان,"آشتیانی
",وحدت اسلامی . نبش فروزش,2.0,17,سیکل,"0
",21,"کشاورز 
",2
858,858,858,1108,1108,سيدمحمدسعيد,"پورناظری
",شهر ری . خ رجایی . 13 آبان.ک باقر آسیابانی .,-1.0,23,کاردانی,"علوم کامپیوتر
",45,"خواننده
",17
859,859,859,1110,1110,سيدمسلم,"کوشکی
",میدان بهاران سجادی جنوبی کوچه محرم عابدی,-1.0,20,0,"مهندسی پزشکی
",18,"کارمند اداری  
",0
860,860,860,1111,1111,سيدمعين,"عبدالکریمی
",خ رودکی نرسیده به امام خمینی نبش کوچه پورزن,-1.0,18,دیپلم,"مهندسی معدن
",37,"بازرسان مالی
",17
861,861,861,1112,1112,سيده حميده,"شجاعی
",شاد آباد خ میرزائی کوچه پاکند کوچه زارعی,2.0,23,دیپلم,,46,"کارشناس بازاریابی 
",1
862,862,862,1113,1113,سيده شهربانو,"پازارگاد
",شهرک مسعودیه.بالاتر از چهارراه چهارم.,2.0,12,0,"علوم اقتصادی
",40,"حسابدار و کمک حسابدار 
",12
863,863,863,1114,1114,سيده عاطفه,"شیخ‌الاسلامی
",قنات کوثر . 20متری مسجد . نبش ششم غربی,1.0,12,-1,"بینایی‌سنجی
",21,"تکنسین اتاق عمل 
",10
864,864,864,1116,1116,سيده نجمه,"انوار
",ضلع شرقی خیابان مصطفی خمینی  - حد فاصل  چهارراه سرچشمه (خیابان امیرکبیر) تا خیابان علامه  شریف رضی (خط ویژه اتوبوس) (,1.0,12,کاردانی,"کاردرمانی
",52,"کارشناس دیجیتال مارکتینگ  
",9
865,865,865,1117,1117,شعله,"عاشوری
",شهرری میدان ساعی خیابان فدائی خیابان حسینی کوچه ولی عصر,2.0,17,دیپلم,"علوم آزمایشگاهی
",29,"طراح وب سایت  
",13
866,866,866,1119,1119,شهاب الدين,"روحانی
",بلوار کشاورز .,1.0,19,-1,"مهندسی صنایع
",33,"مهندس معدن 
",6
867,867,867,1120,1120,صاحبه,"سحاب
",خانی آباد نو . شهرک شریعتی . خ صمدی . 16 متری یعقوبی .,1.0,16,سیکل,"کاردرمانی
",54,,6
868,868,868,1121,1121,صدري,"آهنگری 
",افسریه - بین 15متری سوم و چهارم - کوچه 7 -,0.0,14,فوق دکترا,"مهندسی اپتیک و لیزر
",18,"خبرنگار  
",0
869,869,869,1122,1122,صديقه بيگم,"اوستا
",اکباتان - فاز یک -,0.0,20,فوق دیپلم,"مهندسی هوافضا
",32,"مشاوران مالی
",3
